frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
21,7,0,person,0.6700,443.1,236.6,458.2,277.5
22,1,2,car,0.7422,279.5,237.0,304.0,255.3
22,2,0,person,0.6580,459.8,233.3,474.9,276.2
22,5,0,person,0.4038,239.7,236.1,250.0,259.5
22,3,2,car,0.5723,315.7,239.2,340.4,258.6
22,6,0,person,0.7000,432.2,238.8,443.8,267.9
22,7,0,person,0.6340,444.8,237.0,459.4,277.0
22,8,0,person,0.5475,423.3,243.6,432.9,267.9
23,1,2,car,0.7345,279.0,236.9,303.5,255.4
23,2,0,person,0.6187,460.2,233.3,475.7,277.1
23,5,0,person,0.4404,239.2,236.4,249.6,259.8
23,3,2,car,0.6191,315.4,239.0,340.1,258.6
23,6,0,person,0.6600,433.2,238.6,444.8,267.8
23,7,0,person,0.6392,445.6,237.6,460.1,277.5
23,8,0,person,0.6061,424.1,243.9,433.8,268.2
24,1,2,car,0.7204,278.8,237.2,303.0,255.5
24,2,0,person,0.6303,461.7,233.3,477.7,278.3
24,3,2,car,0.5901,314.5,237.7,340.6,258.7
24,6,0,person,0.6261,433.8,238.0,445.8,268.4
24,7,0,person,0.6871,447.2,238.2,461.4,277.6
24,8,0,person,0.6551,424.6,243.9,434.6,268.4
25,1,2,car,0.7177,278.7,237.4,302.6,255.6
25,2,0,person,0.6110,463.0,232.4,479.5,279.0
25,3,2,car,0.6056,315.0,239.0,339.6,258.9
25,6,0,person,0.6717,434.6,238.4,446.4,268.2
25,7,0,person,0.5909,448.7,238.4,462.8,278.0
25,8,0,person,0.6014,424.8,244.4,434.7,268.4
26,1,2,car,0.7227,278.3,237.6,302.2,256.0
26,2,0,person,0.6036,466.0,233.7,481.9,278.4
26,3,2,car,0.6511,315.7,241.0,338.2,259.0
26,6,0,person,0.5649,436.1,240.5,447.3,269.1
26,7,0,person,0.5423,450.2,239.3,464.2,278.9
26,8,0,person,0.5609,426.0,244.6,436.8,270.4
26,5,0,person,0.4760,236.9,236.2,247.9,260.6
27,1,2,car,0.7346,278.0,237.7,301.8,256.1
27,2,0,person,0.6239,467.9,234.7,483.9,279.7
27,3,2,car,0.6701,315.8,241.7,337.7,259.1
27,6,0,person,0.5547,436.9,241.2,448.0,269.6
27,7,0,person,0.4856,451.0,238.2,465.5,279.5
27,8,0,person,0.5537,426.7,244.3,438.1,271.4
27,5,0,person,0.4597,236.2,236.4,247.3,260.9
28,1,2,car,0.7516,277.4,237.9,301.3,256.5
28,2,0,person,0.7026,468.7,234.2,485.5,281.6
28,3,2,car,0.6773,315.2,241.7,337.5,259.4
28,6,0,person,0.5294,437.1,239.2,449.4,271.2
28,7,0,person,0.6799,452.0,235.9,467.4,280.0
28,8,0,person,0.5781,427.7,245.1,439.1,271.9
28,5,0,person,0.4702,235.6,236.7,246.4,260.6
29,1,2,car,0.7474,276.9,238.1,300.7,256.6
29,2,0,person,0.7531,469.9,234.6,487.0,283.0
29,3,2,car,0.6461,314.4,241.3,337.6,259.6
29,6,0,person,0.5288,437.5,238.0,450.3,271.6
29,7,0,person,0.6362,453.2,235.8,468.8,281.0
29,8,0,person,0.4441,428.1,245.7,439.6,272.3
29,5,0,person,0.4238,234.5,236.5,245.5,260.4
30,1,2,car,0.7614,275.7,238.0,300.0,257.0
30,2,0,person,0.7229,471.1,235.5,488.2,283.7
30,3,2,car,0.7006,313.6,240.9,337.5,260.0
30,6,0,person,0.5859,438.2,239.4,450.5,271.9
30,7,0,person,0.4938,454.4,237.3,469.6,281.7
30,8,0,person,0.4538,428.5,246.2,439.7,272.3
30,5,0,person,0.4868,233.4,237.1,244.8,261.3
31,1,2,car,0.7806,275.0,238.2,299.5,257.2
31,2,0,person,0.6981,472.1,235.8,489.2,283.9
31,3,2,car,0.6962,313.2,241.0,337.1,260.2
31,6,0,person,0.6537,438.4,239.5,451.0,273.2
31,7,0,person,0.4641,456.3,240.0,470.8,282.3
31,8,0,person,0.5313,428.8,246.8,440.1,273.3
31,5,0,person,0.5206,232.2,237.4,243.8,261.9
32,1,2,car,0.7923,274.3,238.3,298.9,257.4
32,2,0,person,0.7171,473.9,236.3,491.1,284.9
32,3,2,car,0.6117,312.2,241.0,336.5,260.6
32,6,0,person,0.6866,438.6,238.7,451.6,273.9
32,7,0,person,0.6413,457.0,238.4,472.1,283.0
32,8,0,person,0.4657,428.5,246.9,440.0,274.0
32,5,0,person,0.5672,231.5,238.2,242.9,262.0
33,1,2,car,0.7998,273.6,238.4,298.2,257.5
33,2,0,person,0.7123,474.8,235.9,492.4,285.9
33,3,2,car,0.5993,311.7,241.0,336.4,260.9
33,6,0,person,0.7068,438.8,238.0,452.2,274.7
33,7,0,person,0.6005,457.8,237.2,473.5,283.7
33,8,0,person,0.4290,428.8,247.2,440.4,274.7
33,5,0,person,0.5558,230.7,238.6,242.2,262.4
34,1,2,car,0.8015,272.8,238.5,297.7,257.9
34,2,0,person,0.7440,476.1,236.2,493.8,286.1
34,3,2,car,0.6128,311.0,240.9,335.9,261.1
34,6,0,person,0.7131,439.7,237.6,453.2,275.0
34,7,0,person,0.7595,458.7,237.1,474.9,285.0
34,8,0,person,0.4674,429.6,247.3,441.2,275.0
