frame,track_id,class_name,warning_type,distance_m,ttc_s,x1,y1,x2,y2
19,4,car,VEHICLE TOO CLOSE,7.5,,244.5,480.4,472.6,660.6
19,5,car,VEHICLE TOO CLOSE,4.4,3.2,1038.1,414.3,1280.0,719.2
20,2,car,FRONT OBJECT,22.1,3.6,601.5,501.2,686.4,562.4
20,1,car,FRONT OBJECT,17.7,2.8,645.7,501.4,763.0,577.7
20,1,car,TTC WARNING,17.7,2.8,645.7,501.4,763.0,577.7
20,5,car,VEHICLE TOO CLOSE,4.3,2.6,1045.5,408.2,1280.0,719.0
20,5,car,TTC WARNING,4.3,2.6,1045.5,408.2,1280.0,719.0
21,2,car,FRONT OBJECT,22.8,6.0,606.7,501.3,689.4,560.6
21,1,car,FRONT OBJECT,17.9,3.4,646.9,501.4,762.7,576.7
21,4,car,VEHICLE TOO CLOSE,6.9,5.0,238.0,478.8,481.5,674.1
21,5,car,VEHICLE TOO CLOSE,4.2,2.2,1051.2,399.4,1280.0,719.4
21,5,car,TTC WARNING,4.2,2.2,1051.2,399.4,1280.0,719.4
22,2,car,FRONT OBJECT,23.1,24.4,609.2,501.2,691.0,559.6
22,1,car,FRONT OBJECT,17.7,3.7,647.9,500.7,765.0,576.9
22,4,car,VEHICLE TOO CLOSE,7.4,8.0,245.7,479.0,473.7,662.5
22,3,car,VEHICLE TOO CLOSE,7.4,2.3,820.1,458.8,1060.2,641.4
22,3,car,TTC WARNING,7.4,2.3,820.1,458.8,1060.2,641.4
22,5,car,VEHICLE TOO CLOSE,4.2,2.2,1060.9,397.3,1280.0,719.4
22,5,car,TTC WARNING,4.2,2.2,1060.9,397.3,1280.0,719.4
23,2,car,FRONT OBJECT,23.2,,610.4,500.7,692.1,558.9
23,1,car,FRONT OBJECT,17.8,4.4,648.9,500.5,765.9,576.4
23,4,car,VEHICLE TOO CLOSE,7.4,13.1,247.4,478.8,472.1,660.7
23,3,car,VEHICLE TOO CLOSE,7.3,2.0,830.7,457.5,1071.9,643.0
23,3,car,TTC WARNING,7.3,2.0,830.7,457.5,1071.9,643.0
